date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:45	52915/52915	---M-Z	200	added ('OK')	text/html	etag:%22ceb3-685d38d5-7a9f057774b3423f;gz%22	https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html	(from )
08:54:45	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-38a54ccda54449fb;gz%22	https://html.aqlova.com/robots.txt		(from )
08:54:45	788/788	---M--	200	added ('OK')	image/png	etag:%22314-685d38d3-cd80a1471e8414a1;;;%22	https://html.aqlova.com/agntix-prv/agntix/assets/img/favicon/favicon.png	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/img/favicon/favicon.png	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:46	194851/194851	---M-Z	200	added ('OK')	text/css	etag:%222f923-685d38d2-e20ecbb345e570c0;gz%22	https://html.aqlova.com/agntix-prv/agntix/assets/css/bootstrap.css	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/css/bootstrap.css	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:46	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-685d38d2-1d163213d0f49291;gz%22	https://html.aqlova.com/agntix-prv/agntix/assets/css/slick.css	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/css/slick.css	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:46	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-685d38d2-e3f107870fec4687;gz%22	https://html.aqlova.com/agntix-prv/agntix/assets/css/swiper-bundle.css	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/css/swiper-bundle.css	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:46	6952/6952	---M-Z	200	added ('OK')	text/css	etag:%221b28-685d38d2-39220f35a15898f7;gz%22	https://html.aqlova.com/agntix-prv/agntix/assets/css/magnific-popup.css	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/css/magnific-popup.css	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:47	8390/8390	---M-Z	200	added ('OK')	text/css	etag:%2220c6-685d38d2-63d6f2e1434ec6fa;gz%22	https://html.aqlova.com/agntix-prv/agntix/assets/css/spacing.css	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/css/spacing.css	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:47	465639/465639	---M-Z	200	added ('OK')	text/css	etag:%2271ae7-685d38d2-d7a3477f3dd6ff6d;gz%22	https://html.aqlova.com/agntix-prv/agntix/assets/css/font-awesome-pro.css	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/css/font-awesome-pro.css	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:47	1872/1872	---M-Z	200	added ('OK')	text/css	etag:%22750-685d38d2-67073672f1f3db0d;gz%22	https://html.aqlova.com/agntix-prv/agntix/assets/css/atropos.min.css	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/css/atropos.min.css	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:47	1099341/1099341	---MCZ	200	added ('OK')	text/css	etag:%2210c64d-686e38c1-61f86f8035d5fd3e;gz%22	https://html.aqlova.com/agntix-prv/agntix/assets/css/main.css	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/css/main.css	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:47	155352/155352	---M-Z	200	added ('OK')	text/html	etag:%2225ed8-685d38d5-72bf6805b3e4146;gz%22	https://html.aqlova.com/agntix-prv/agntix/index.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/index.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:48	3452/3452	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jul%202025%2008:54:46%20GMT	https://html.aqlova.com/agntix-prv/agntix/assets/img/logo/logo-white.png	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/img/logo/logo-white.png	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:48	7522/7522	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jul%202025%2008:54:46%20GMT	https://html.aqlova.com/agntix-prv/agntix/assets/img/logo/logo-black.png	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/assets/img/logo/logo-black.png	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:48	179576/179576	---M-Z	200	added ('OK')	text/html	etag:%222bd78-685d38d5-7f6066ed03853de1;gz%22	https://html.aqlova.com/agntix-prv/agntix/index-digital-marketing-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/index-digital-marketing-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:48	90887/90887	---M-Z	200	added ('OK')	text/html	etag:%2216307-685d38d5-b4461209d86defaa;gz%22	https://html.aqlova.com/agntix-prv/agntix/index-design-agency-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/index-design-agency-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:49	189201/189201	---M-Z	200	added ('OK')	text/html	etag:%222e311-685d38d5-ba55d7d50b7c1370;gz%22	https://html.aqlova.com/agntix-prv/agntix/index-unique-ai-image-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/index-unique-ai-image-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:49	133261/133261	---M-Z	200	added ('OK')	text/html	etag:%222088d-685d38d5-b0e055aad63304af;gz%22	https://html.aqlova.com/agntix-prv/agntix/index-corporate-agency-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/index-corporate-agency-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:49	235161/235161	---M-Z	200	added ('OK')	text/html	etag:%2239699-68651ae2-fa3e85cbd350c758;gz%22	https://html.aqlova.com/agntix-prv/agntix/index-mobile-application-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/index-mobile-application-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:49	151619/151619	---M-Z	200	added ('OK')	text/html	etag:%2225043-68651ae2-688a771f1dd60f3c;gz%22	https://html.aqlova.com/agntix-prv/agntix/index-it-solution-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/index-it-solution-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:49	128699/128699	---M-Z	200	added ('OK')	text/html	etag:%221f6bb-685d38d5-45700d70f075ee81;gz%22	https://html.aqlova.com/agntix-prv/agntix/index-cryptocurrency-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/index-cryptocurrency-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:50	62219/62219	---M-Z	200	added ('OK')	text/html	etag:%22f30b-685d38d2-6b605ce0ccc05ccf;gz%22	https://html.aqlova.com/agntix-prv/agntix/about-me-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/about-me-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:50	119730/119730	---M-Z	200	added ('OK')	text/html	etag:%221d3b2-685d38d2-3b87e6eaecf46de0;gz%22	https://html.aqlova.com/agntix-prv/agntix/about-us-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/about-us-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:50	71439/71439	---M-Z	200	added ('OK')	text/html	etag:%221170f-685d38d5-ca83b9ecddb464ee;gz%22	https://html.aqlova.com/agntix-prv/agntix/service-1-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/service-1-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:51	95091/95091	---M-Z	200	added ('OK')	text/html	etag:%2217373-685d38d5-63cacf924d4826a7;gz%22	https://html.aqlova.com/agntix-prv/agntix/service-details-2-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/service-details-2-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:51	98833/98833	---M-Z	200	added ('OK')	text/html	etag:%2218211-685d38d5-590f192a837bc748;gz%22	https://html.aqlova.com/agntix-prv/agntix/career-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/career-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:51	72052/72052	---M-Z	200	added ('OK')	text/html	etag:%2211974-685d38d5-287fab9128b2dac8;gz%22	https://html.aqlova.com/agntix-prv/agntix/career-details-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/career-details-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:51	110003/110003	---M-Z	200	added ('OK')	text/html	etag:%221adb3-685d38d5-4cc2aa834c66aed6;gz%22	https://html.aqlova.com/agntix-prv/agntix/team-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/team-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:52	103143/103143	---M-Z	200	added ('OK')	text/html	etag:%22192e7-685d38d5-5f28b6764fbb051;gz%22	https://html.aqlova.com/agntix-prv/agntix/team-details-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/team-details-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:52	181416/181416	---M-Z	200	added ('OK')	text/html	etag:%222c4a8-685d38d5-91284ac3f6be2648;gz%22	https://html.aqlova.com/agntix-prv/agntix/pricing-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/pricing-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:52	68573/68573	---M-Z	200	added ('OK')	text/html	etag:%2210bdd-685d38d5-ecf4b4c2a342b560;gz%22	https://html.aqlova.com/agntix-prv/agntix/faq-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/faq-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:52	29601/29601	---M-Z	200	added ('OK')	text/html	etag:%2273a1-685d38d5-da5762b3a41664db;gz%22	https://html.aqlova.com/agntix-prv/agntix/portfolio-webgl-showcase.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/portfolio-webgl-showcase.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:53	27871/27871	---M-Z	200	added ('OK')	text/html	etag:%226cdf-685d38d5-5e874d02a3fbcc15;gz%22	https://html.aqlova.com/agntix-prv/agntix/portfolio-coverflow-slider-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/portfolio-coverflow-slider-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:53	24475/24475	---M-Z	200	added ('OK')	text/html	etag:%225f9b-685d38d5-85f6c948965e7ede;gz%22	https://html.aqlova.com/agntix-prv/agntix/portfolio-creative-thumb-slider.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/portfolio-creative-thumb-slider.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:53	22962/22962	---M-Z	200	added ('OK')	text/html	etag:%2259b2-685d38d5-f456d5624e399c44;gz%22	https://html.aqlova.com/agntix-prv/agntix/portfolio-creative-skew-slider.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/portfolio-creative-skew-slider.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:53	24051/24051	---M-Z	200	added ('OK')	text/html	etag:%225df3-685d38d5-c916cc4ad571337;gz%22	https://html.aqlova.com/agntix-prv/agntix/portfolio-creative-text-slider.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/portfolio-creative-text-slider.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:54	37942/37942	---M-Z	200	added ('OK')	text/html	etag:%229436-685d38d5-9139edbbc2438fd4;gz%22	https://html.aqlova.com/agntix-prv/agntix/portfolio-parallax-slider.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/portfolio-parallax-slider.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:54	25311/25311	---M-Z	200	added ('OK')	text/html	etag:%2262df-685d38d5-67ba430892f28f46;gz%22	https://html.aqlova.com/agntix-prv/agntix/portfolio-perspective-slider-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/portfolio-perspective-slider-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:54	86414/86414	---M-Z	200	added ('OK')	text/html	etag:%221518e-685d38d5-1d6606664d75fcdb;gz%22	https://html.aqlova.com/agntix-prv/agntix/blog-grid-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/blog-grid-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:54	99449/99449	---M-Z	200	added ('OK')	text/html	etag:%2218479-685d38d5-852fb4b0ec99f3f9;gz%22	https://html.aqlova.com/agntix-prv/agntix/blog-standard-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/blog-standard-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:55	69542/69542	---M-Z	200	added ('OK')	text/html	etag:%2210fa6-685d38d5-360c5b6fde51c847;gz%22	https://html.aqlova.com/agntix-prv/agntix/blog-list-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/blog-list-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:55	94206/94206	---M-Z	200	added ('OK')	text/html	etag:%2216ffe-685d38d5-c75491ccd336f38c;gz%22	https://html.aqlova.com/agntix-prv/agntix/blog-masonry-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/blog-masonry-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:55	109035/109035	---M-Z	200	added ('OK')	text/html	etag:%221a9eb-685d38d5-36f17f6ef0779f30;gz%22	https://html.aqlova.com/agntix-prv/agntix/blog-details-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/blog-details-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:56	239685/239685	---M-Z	200	added ('OK')	text/html	etag:%223a845-685d38d5-73078174092d14b9;gz%22	https://html.aqlova.com/agntix-prv/agntix/index-shop-modern-light.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/index-shop-modern-light.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:56	153456/153456	---M-Z	200	added ('OK')	text/html	etag:%2225770-685d38d5-19a6f46b7d1dbb2f;gz%22	https://html.aqlova.com/agntix-prv/agntix/shop-details.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/shop-details.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:56	118735/118735	---M-Z	200	added ('OK')	text/html	etag:%221cfcf-685d38d5-3e6e376dd43584fb;gz%22	https://html.aqlova.com/agntix-prv/agntix/my-account.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/my-account.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
08:54:56	82179/82179	---M-Z	200	added ('OK')	text/html	etag:%2214103-685d38d5-37219bcae39fcd30;gz%22	https://html.aqlova.com/agntix-prv/agntix/cart.html	C:/Users/cisse/Downloads/agntix/html.aqlova.com/agntix-prv/agntix/cart.html	(from https://html.aqlova.com/agntix-prv/agntix/index-design-studio-light.html)
